tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
138361973,1166.01,FP,1.8824539,2460556.103196,2.46
232967666,1167.01,FP,15.196,2458689.11633,1.792
41330864,1168.01,FP,2.1358631,2460363.632024,1.559
302518439,1169.01,PC,6.7075429,2460323.760513,2.125
322307342,117.01,KP,3.5862962,2459063.655791,3.3710943
294176967,1170.01,FP,1.8296155,2460556.995021,2.166
101929303,1171.01,FP,11.1876137,2460541.381489,3.183
287156968,1230.01,CP,25.0571312,2458620.316686,7.5424225
447061717,1231.01,CP,24.2454967,2458563.890468,3.3725583
364395234,1232.01,CP,14.2545623,2458544.021225,4.7250029
260647166,1233.01,CP,14.1758947,2459308.481159,3.7543827
260647166,1233.02,CP,19.5901578,2459311.402774,4.002861
260647166,1233.03,CP,6.2036219,2459310.632995,3.01098
260647166,1233.04,CP,3.79589,2458572.107559,2.4602856
90504905,1234.01,FP,2.2645386,2458685.613152,3.8193701
103633434,1235.01,CP,3.4447015,2460333.631473,1.912
120757718,1236.01,KP,3.0300715,2459422.690639,2.5466671
120960812,1237.01,KP,12.72038,2459781.665928,2.401
120960812,1237.02,KP,6.238755,2458685.409943,3.6178567
153951307,1238.01,CP,3.2947689,2458684.28731,1.7483103
153951307,1238.02,CP,0.7645807,2458684.104681,1.07057
154716798,1239.01,CP,12.6396982,2459604.095801,3.3830702
287776397,1205.01,PC,2.3922703,2458383.241223,9.0053425
308034948,1206.01,FP,0.831542,2458569.713498,1.985538
364393429,1207.01,PC,2.6282553,2458325.539664,2.0930597
273985865,1208.01,PC,3.4239436,2458327.476703,1.9601023
273985865,1208.02,PC,10.983042,2458331.120311,3.7478987
273985865,1208.03,PC,17.726449,2458341.801726,3.4404719
30037565,1209.01,PC,40.7199388,2458337.088331,4.2436925
33878688,1210.01,FP,79.3739596,2459187.361317,5.392
50312495,1211.01,PC,18.1663644,2460180.146446,2.464
389924075,1212.01,PC,105.5850893,2458402.036518,11.6068811
399144800,1213.01,FP,27.2149622,2458576.189436,3.7190483
451606970,1214.01,PC,19.1807264,2458634.552482,3.9621084
453260209,1215.01,PC,1.2124493,2458570.395929,0.9984653
141527965,1216.01,PC,4.5541831,2458325.424166,7.8146963
248092710,1217.01,PC,41.4856125,2458574.940733,6.6899368
294781547,1218.01,PC,13.7738265,2458336.632412,2.9992376
294981566,1219.01,PC,1.9142544,2460121.561055,3.256
231702397,122.01,CP,5.0780325,2458329.118988,1.2100353
349095149,1221.01,CP,91.6827832,2458404.181466,9.7504857
374997123,1222.01,PC,10.1944993,2458329.466254,2.2648785
382437043,1223.01,FP,14.64319,2458337.747012,2.5483426
299798795,1224.01,CP,4.1782656,2458327.705053,1.675904
299798795,1224.02,CP,17.9453645,2458329.862603,3.0740072
